"","UserID","Gender","Supertoto_max_stakes","Supertoto_mean_Bets","Supertoto_mean_Stakes","Supertoto_mean_Winnings","Recency_bet_supertoto","Continent"
"279",1348436,1,1.1,3,0.36,0.29,50,"Europe"
"280",1348487,1,0.6,1,0.4,0.34,29,"Europe"
"281",1348491,1,2.5,2.25,1.25,1.04,148,"Europe"
"282",1348544,1,2.5,5,2.5,2.06,201,"Europe"
"283",1348738,1,0.1,1,0.1,0.08,36,"Europe"
"284",1348751,1,1.5,1,1.25,1.03,223,"Asia"
"285",1348888,1,0.5,1,0.5,0.41,223,"Europe"
"286",1348914,1,0.2,2,0.2,0.16,232,"Europe"
"287",1348956,1,0.3,1.43,0.14,0.12,141,"Europe"
"288",1349070,1,1,1.33,0.63,0.52,1,"Europe"
"289",1349091,1,0.1,1,0.1,0.08,43,"Europe"
"290",1349356,1,3.2,1.33,0.77,0.63,1,"Asia"
"291",1349504,0,0.3,2,0.3,0.25,226,"Asia"
"292",1349514,1,6.4,1,6.4,5.28,225,"Europe"
"293",1349591,1,0.5,1,0.5,0.41,70,"Europe"
"294",1349592,1,2,1,2,1.65,209,"Asia"
"295",1349635,1,6,3.33,3.03,2.51,130,"Europe"
"296",1349734,1,6.4,1.11,2.07,1.78,179,"Europe"
"297",1349782,1,3.2,2,3.2,2.64,219,"Europe"
"298",1349895,1,0.5,1,0.5,0.41,12,"Asia"
"299",1349905,1,0.1,1,0.1,0.08,213,"Europe"
"300",1350008,0,0.5,1,0.5,0.41,164,"Europe"
"301",1350021,1,4,1,1.98,1.63,217,"Europe"
"302",1350027,1,8.1,0.9,5.18,4.35,161,"Europe"
"303",1350182,1,0.8,1.71,0.48,0.4,155,"Europe"
"304",1350253,1,9.6,1,2.72,2.27,16,"Europe"
"305",1350318,1,11.2,3.89,3.26,2.69,15,"Europe"
"306",1350408,1,7,1.92,1.56,1.29,140,"Europe"
"307",1350419,1,0.1,1,0.1,0.08,219,"Europe"
"308",1350425,1,13.5,2.12,5.81,4.8,180,"Europe"
"309",1350599,1,19.23,1,11.62,9.58,30,"Europe"
"310",1350733,1,0.5,1,0.5,0.41,216,"Europe"
"311",1350978,1,0.1,1,0.1,0.08,140,"Europe"
"312",1351053,0,0.1,1,0.1,0.08,225,"Asia"
"313",1351120,1,38.4,1.2,6.79,5.86,137,"Europe"
"314",1351159,1,25.6,1,25.6,21.12,231,"Europe"
"315",1351252,1,21.6,1,21.6,17.82,231,"Europe"
"316",1351320,1,0.5,1,0.5,0.41,186,"Asia"
"317",1351487,1,44,14,26.76,22.08,21,"Europe"
"318",1351514,1,41.8,4.24,8.27,6.87,23,"Europe"
"319",1351549,1,4,1,1.44,1.19,121,"Asia"
"320",1351552,1,1,1.25,0.32,0.26,154,"Europe"
"321",1351613,1,12,19.33,5.93,5.2,172,"Europe"
"322",1351632,1,2,1,1.73,1.43,37,"Europe"
"323",1351716,1,0.5,1,0.5,0.41,193,"Europe"
"324",1351770,0,0.8,1,0.8,0.66,210,"Europe"
"325",1351828,1,20.5,2.2,5.92,4.96,1,"Europe"
"326",1352036,1,0.1,1,0.1,0.08,197,"Europe"
"327",1352293,1,57.6,1,57.6,47.52,225,"Europe"
"328",1352309,1,3.2,1,1,0.84,30,"Europe"
"329",1352385,1,0.5,3,0.3,0.25,189,"Europe"
"330",1352436,1,76.8,1,42.4,34.98,227,"Europe"
"331",1352645,1,1,1.5,0.75,0.62,201,"Europe"
"332",1352723,1,1.5,2,1.5,1.24,192,"Europe"
"333",1352910,1,32.4,0.86,7.41,6.12,49,"Europe"
"334",1353011,1,0.1,1,0.1,0.08,226,"Europe"
"335",1353039,1,1,1,0.55,0.45,194,"Europe"
"336",1353067,1,8.1,1.83,2.47,2.08,53,"Europe"
"337",1353107,1,2,5,2,1.65,106,"Europe"
"338",1353358,1,0.5,1,0.3,0.25,210,"Asia"
"339",1353365,1,1.6,0.5,0.8,0.66,208,"Europe"
"340",1353476,1,9,2,9,7.42,16,"Europe"
"341",1353533,1,0.5,1,0.3,0.25,186,"Europe"
"342",1353672,1,4.8,1.2,2.42,2,14,"Europe"
"343",1353790,1,8,1,8,6.6,230,"Europe"
"344",1353792,1,2,1,2,1.65,174,"Europe"
"345",1354290,1,1.2,1,0.51,0.42,2,"Europe"
"346",1354378,1,0.5,1,0.5,0.41,223,"Europe"
"347",1354427,1,1,1.75,0.38,0.31,1,"Europe"
"348",1354482,1,14.4,2.83,1.55,1.34,40,"Europe"
"349",1354485,1,12.8,1.15,5.05,4.32,23,"Europe"
"350",1354642,1,3.2,0.71,1.26,1.04,152,"Europe"
"351",1354811,1,0.51,1,0.2,0.17,92,"Europe"
"352",1354856,0,3.6,1.5,1.85,1.53,126,"Asia"
"353",1354965,0,5,3.57,1.4,1.16,186,"Europe"
"354",1354996,1,1.8,0.5,0.9,0.74,215,"Europe"
"355",1355129,1,3.2,1,1.37,1.13,210,"Europe"
"356",1355136,1,0.1,1,0.1,0.08,16,"Europe"
"357",1355222,1,0.1,1,0.1,0.09,149,"Europe"
"358",1355248,1,2.1,1.5,1.3,1.07,222,"Europe"
"359",1355260,1,0.1,1,0.1,0.08,225,"Europe"
"360",1355323,1,2.4,1,1.08,0.89,119,"Europe"
"361",1355837,1,12.8,1,2.86,2.38,2,"Europe"
"362",1355959,0,9.6,1,5.67,4.67,21,"Europe"
"363",1356034,1,1,1,0.75,0.62,117,"Europe"
"364",1356036,1,14.4,0.77,4.55,3.75,14,"Europe"
"365",1356317,1,2,1,0.7,0.58,23,"Europe"
"366",1356406,1,64,0.92,20.3,16.96,127,"Europe"
"367",1356414,1,3.2,1.33,0.95,0.84,33,"Europe"
"368",1356493,1,0.5,1.5,0.25,0.21,218,"Europe"
"369",1356507,1,0.1,1,0.1,0.09,213,"Asia"
"370",1356646,1,2,1.33,1.43,1.21,26,"Europe"
"371",1356727,1,1.6,4.71,0.54,0.45,12,"Europe"
"372",1356899,0,13,1.1,6.11,5.04,28,"Europe"
"373",1356925,1,9.6,1.08,2.69,2.22,5,"Europe"
"374",1357151,1,12.8,1.17,1.15,0.95,9,"Europe"
"375",1357196,1,64.8,20.4,18.56,16.61,144,"Europe"
"376",1357215,1,0.2,1.5,0.15,0.13,134,"Asia"
"377",1357294,1,18,3,18,14.85,17,"Europe"
"378",1357449,1,0.8,1,0.46,0.38,155,"Europe"
"379",1357461,1,0.5,1,0.3,0.25,93,"Europe"
"380",1357590,1,0.5,1,0.5,0.41,172,"Europe"
"381",1357736,1,0.8,1,0.65,0.54,183,"Europe"
"382",1357750,1,0.5,1,0.5,0.41,229,"Europe"
"383",1357827,1,0.1,1,0.1,0.08,149,"Europe"
"384",1357951,0,0.4,1,0.18,0.14,154,"Europe"
"385",1357974,1,8,1.21,2.11,1.76,42,"Europe"
"386",1357997,1,0.2,2,0.2,0.16,169,"Europe"
"387",1358094,1,1.2,1,1.2,0.99,227,"Europe"
"388",1358163,1,0.1,1,0.1,0.08,225,"Europe"
"389",1358171,1,2,1,0.78,0.64,200,"Europe"
"390",1358471,1,0.5,1,0.37,0.32,182,"Europe"
"391",1358556,1,1,1,1,0.82,200,"Europe"
"392",1358658,1,1.6,1,1.6,1.48,32,"Europe"
"393",1358754,1,3,2,1.53,1.27,50,"Europe"
"394",1358808,1,1.5,2,1,0.82,202,"Europe"
"395",1358930,1,4,1,4,3.3,215,"Europe"
"396",1358973,1,1.5,1.5,0.82,0.68,186,"Asia"
"397",1359061,1,2,1,2,1.65,174,"Europe"
"398",1359080,1,4,1,4,3.3,16,"Europe"
"399",1359172,1,0.1,1,0.1,0.08,36,"Europe"
"400",1359246,1,1.6,1.5,1.55,1.28,214,"Europe"
"401",1359253,1,6,1,2.15,1.77,193,"Asia"
"402",1359409,1,32,1.62,6.54,5.39,162,"Europe"
"403",1359629,1,1.6,1,1.6,1.32,196,"Europe"
"404",1359749,1,0.4,1,0.4,0.33,127,"Europe"
"405",1359793,1,1,2,1,0.82,227,"Europe"
"406",1359953,1,0.5,1,0.5,0.41,221,"Europe"
"407",1360013,1,16,1,13.6,11.65,123,"Europe"
"408",1360025,1,0.1,1,0.1,0.08,14,"Europe"
"409",1360186,1,0.8,1,0.8,0.66,226,"Europe"
"410",1360240,1,0.5,1,0.5,0.41,228,"Europe"
"411",1360308,1,28.8,1.14,11.66,9.62,3,"Europe"
"412",1360380,1,0.5,1,0.23,0.19,208,"Europe"
"413",1360421,1,3,1,3,2.48,152,"Europe"
"414",1360426,1,12.8,1,12.8,10.56,175,"Europe"
"415",1360452,1,1,1,0.58,0.49,2,"Europe"
"416",1360475,1,2,0.67,0.93,0.76,180,"Asia"
"417",1360477,1,9.5,1.25,3.38,2.78,159,"Europe"
"418",1360551,1,0.5,1.3,0.26,0.21,7,"Europe"
"419",1360590,0,0.8,1,0.17,0.15,129,"Europe"
"420",1360876,1,4,0.5,2,1.65,215,"Europe"
"421",1360964,1,1,1.33,0.63,0.52,187,"Asia"
"422",1360997,1,0.1,1,0.1,0.08,170,"Europe"
"423",1361162,1,0.5,1,0.5,0.41,207,"Europe"
"424",1361177,1,1,1.5,0.6,0.5,201,"Europe"
"425",1361186,1,0.5,1.67,0.37,0.32,168,"Europe"
"426",1361241,1,13,2.5,7.5,6.19,104,"Europe"
"427",1361269,1,19.2,1.2,6.29,5.32,7,"Europe"
"428",1361345,1,3.2,0.67,2.13,1.76,197,"Europe"
"429",1361380,0,4,1.33,1.6,1.32,117,"Asia"
"430",1361410,1,2,1,1.2,0.99,175,"Asia"
"431",1361472,1,0.5,1,0.5,0.41,207,"Europe"
"432",1361613,1,3.2,1.67,0.97,0.82,206,"Europe"
"433",1361715,1,0.3,2,0.2,0.16,149,"Europe"
"434",1361775,1,0.1,1,0.1,0.08,177,"Europe"
"435",1361831,1,4.5,1,3.45,2.85,4,"Asia"
"436",1361922,1,0.5,1,0.5,0.41,61,"Europe"
"437",1361959,1,1,1.33,0.57,0.47,173,"Europe"
"438",1362019,1,21.6,0.83,13.47,11.43,3,"Europe"
"439",1362058,0,0.1,1,0.1,0.08,176,"Europe"
"440",1362269,1,14.4,1,14.4,11.88,141,"Europe"
"441",1362278,1,4,1,1.75,1.45,1,"Europe"
"442",1362429,1,0.5,1,0.5,0.41,82,"Europe"
"443",1362562,1,6.8,4,3.5,2.89,218,"Europe"
"444",1362995,1,8,1,8,6.6,167,"Europe"
"445",1363450,1,6.4,4.22,1.58,1.31,14,"Europe"
"446",1363500,1,1.5,1.33,0.78,0.65,4,"Europe"
"447",1363552,1,0.8,1,0.8,0.66,1,"Europe"
"448",1363553,1,0.9,1,0.9,0.74,197,"Europe"
