"","UserID","Gender","max_stakes","mean_stakes","mean_bets","mean_winnings","LOS","Continent"
"71",1325126,0,102.46,60.23,55.5,45.14,91,"Europe"
"72",1325144,0,14,14,2,10,184,"Americas"
"73",1325148,0,79.75,23.07,18,16.12,141,"Europe"
"74",1325158,0,5241.5,3138.25,273,3334.5,39,"Europe"
"75",1325159,0,34,20.5,20.5,17.83,145,"Asia"
"76",1325161,0,397,100.38,6.46,99.12,114,"Europe"
"77",1325165,0,6612.33,909.43,328.32,833.82,192,"Europe"
"78",1325170,0,12.5,12.5,3,0,242,"Europe"
"79",1325187,0,312.51,87.24,100.5,75.72,110,"Europe"
"80",1325189,0,7765.4,802,40.06,732.4,99,"Europe"
"81",1325190,0,20,13.33,10,9,233,"Europe"
"82",1325200,0,85.74,85.74,20,40.12,226,"Asia"
"83",1325215,0,348,178.5,132.5,172.5,6,"Europe"
"84",1325218,0,8,6.5,4.5,3,162,"Europe"
"85",1325237,0,145,48.5,19.42,46.25,9,"Europe"
"86",1325243,0,0.5,0.5,1,0,61,"Europe"
"87",1325249,0,628.24,212.4,47.33,195.7,146,"Asia"
"88",1325253,0,302.5,127.12,60.75,127.25,241,"Asia"
"89",1325257,0,15,15,3,30,242,"Europe"
"90",1325273,0,81.08,48.66,19,105.92,163,"Europe"
"91",1325285,0,10,10,3,0,234,"Europe"
"92",1325300,0,437.52,437.52,43,409.76,185,"Europe"
"93",1325301,0,28.91,10.23,7.75,7.85,202,"Asia"
"94",1325313,0,8452,3253.11,233.89,3119.44,83,"Europe"
"95",1325318,0,9617,953.41,58.77,923.14,225,"Europe"
"96",1325333,0,10,10,2,0,242,"Europe"
"97",1325337,0,282,81,62.8,76.4,105,"Europe"
"98",1325345,0,31,21.67,12,12.67,196,"Europe"
"99",1325353,0,167.25,79.79,4.17,74.25,61,"Europe"
"100",1325367,0,1098.97,294.7,1317.55,277.63,240,"Asia"
"101",1325381,0,8402.04,926.49,57.75,874.09,207,"Europe"
"102",1325386,0,4299.5,1298.3,107.2,1201,174,"Europe"
"103",1325427,0,288.5,235.17,177,213,180,"Europe"
"104",1325431,0,201.26,22.52,14.62,22.23,168,"Europe"
"105",1325433,0,9519.63,3432.95,438.75,3500.9,233,"Europe"
"106",1325452,0,47,47,47,37,234,"Europe"
"107",1325453,0,429.95,388.48,7.5,342.39,32,"Europe"
"108",1325465,0,23288.83,6494.24,178.15,6368.13,229,"Europe"
"109",1325472,0,67,67,39,53,240,"Europe"
"110",1325478,0,445.75,445.75,5,399,236,"Europe"
"111",1325490,0,2,2,2,0,70,"Asia"
